type,keyword,country,orig_label,prob,text
FP,in-need,za,0,0.99359316,Adopt a Mission serves as a platform for the church and for likeminded people to reach out to unemployed families in the communiti...
FP,in-need,my,1,0.9929247,"Jesus begins his teaching in Matthew with the Sermon on the Mount . One group he blesses is those in need of comfort , Blessed are..."
FP,in-need,ph,1,0.9927448,""" I always consider this job as a gift , being a nurse is a reward and task given by God to help those who are in need . Seeing yo..."
FP,poor-families,ke,0,0.9915434,""" We have identified extremely poor families , orphaned children , the elderly and those living with HIV/AIDS but with no source o..."
FP,in-need,ph,1,0.99153054,""" The boxing community is wonderful at helping those in need , today is a prime example ...."
FN,disabled,hk,3,0.00095838646,Cheung said 20 disabled undergraduate students from seven universities will start their eight-week internship in government depart...
FN,poor-families,au,3,0.0010117159,Michael Gove 's recent suggestion that inadequate financial management skills among poor families are to blame for the increasing ...
FN,poor-families,us,2,0.001070543,"The World Health Organization did not give a reason for the increase in deaths , but a provincial health official in Sindh said th..."
FN,poor-families,hk,2,0.0012764159,A top health official said today that the government could consider subsidies to help poor families pay for healthy food -- or imp...
FN,hopeless,bd,4,0.001692452,"Calling for an immediate political solution to resolve the crisis in Syria , Erdogan said : "" Turkey 's incursion into northern Sy..."
